sku_id,title,category,sub_category,brand,gender,price,rating,occasion_tags,style_tags,color,fabric,description
SKU-FOO-2448,Forever 21 Sky Blue Women's Leather Boots,footwear,Boots,Forever 21,Women,3549,4.4,Party;Gym,Pastel,Sky Blue,Leather,"Forever 21 sky blue boots crafted from premium leather for women. Features a soft muted hues providing a calm, breezy and sophisticated aesthetic. Ideal for party, gym occasions. Styled in a pastel aesthetic, offering both all-day comfort and trend-forward appeal."
SKU-BOT-2115,Tokyo Talkies Mustard Yellow Women's Silk Palazzos,bottomwear,Palazzos,Tokyo Talkies,Women,1099,4.3,Party,Vibrant,Mustard Yellow,Silk,"Tokyo Talkies mustard yellow palazzos crafted from premium silk for women. Features a eye-catching high-energy color palette suited for expressive moods. Ideal for party occasions. Styled in a vibrant aesthetic, offering both all-day comfort and trend-forward appeal."
SKU-BOT-2065,Fossil Lavender Women's Polyester Skirts,bottomwear,Skirts,Fossil,Women,1449,4.1,Beach,Pastel,Lavender,Polyester,"Fossil lavender skirts crafted from premium polyester for women. Features a soft muted hues providing a calm, breezy and sophisticated aesthetic. Ideal for beach occasions. Styled in a pastel aesthetic, offering both all-day comfort and trend-forward appeal."
SKU-ACC-3288,Titan Mint Green Men's Leather Bags,accessories,Bags,Titan,Men,2699,4.1,Beach,Minimalist;Streetwear,Mint Green,Leather,"Titan mint green bags crafted from premium leather for men. Features a clean tailored silhouette with subtle contemporary accents. Ideal for beach occasions. Styled in a minimalist aesthetic, offering both all-day comfort and trend-forward appeal."
SKU-FOO-2538,DressBerry Mustard Yellow Women's Polyester Heels,footwear,Heels,DressBerry,Women,2449,4.0,Beach;Casual,Streetwear,Mustard Yellow,Polyester,"DressBerry mustard yellow heels crafted from premium polyester for women. Features a urban relaxed drape engineered with durable modern textures. Ideal for beach, casual occasions. Styled in a streetwear aesthetic, offering both all-day comfort and trend-forward appeal."
SKU-BOT-1669,HIGHLANDER Maroon Men's Linen Chinos,bottomwear,Chinos,HIGHLANDER,Men,2149,3.3,Ethnic;Casual,Streetwear,Maroon,Linen,"HIGHLANDER maroon chinos crafted from premium linen for men. Features a urban relaxed drape engineered with durable modern textures. Ideal for ethnic, casual occasions. Styled in a streetwear aesthetic, offering both all-day comfort and trend-forward appeal."
SKU-FOO-2584,Puma White Women's Leather Heels,footwear,Heels,Puma,Women,1649,4.2,Ethnic,Streetwear,White,Leather,"Puma white heels crafted from premium leather for women. Features a urban relaxed drape engineered with durable modern textures. Ideal for ethnic occasions. Styled in a streetwear aesthetic, offering both all-day comfort and trend-forward appeal."
SKU-ACC-3405,Tokyo Talkies Navy Blue Women's Polyester Sunglasses,accessories,Sunglasses,Tokyo Talkies,Women,599,4.8,Beach;Formal,Classic,Navy Blue,Polyester,"Tokyo Talkies navy blue sunglasses crafted from premium polyester for women. Features a timeless quintessential design crafted for versatile everyday elegance. Ideal for beach, formal occasions. Styled in a classic aesthetic, offering both all-day comfort and trend-forward appeal."
SKU-TOP-1498,Mast & Harbour White Men's Silk Kurtas,topwear,Kurtas,Mast & Harbour,Men,2399,4.1,Beach,Pastel,White,Silk,"Mast & Harbour white kurtas crafted from premium silk for men. Features a soft muted hues providing a calm, breezy and sophisticated aesthetic. Ideal for beach occasions. Styled in a pastel aesthetic, offering both all-day comfort and trend-forward appeal."
SKU-ACC-3481,VERO MODA Black Women's Silk Earrings,accessories,Earrings,VERO MODA,Women,949,4.0,Beach,Pastel,Black,Silk,"VERO MODA black earrings crafted from premium silk for women. Features a soft muted hues providing a calm, breezy and sophisticated aesthetic. Ideal for beach occasions. Styled in a pastel aesthetic, offering both all-day comfort and trend-forward appeal."
SKU-TOP-1472,Carlton London Pastel Pink Women's Cotton Blouses,topwear,Blouses,Carlton London,Women,1149,3.4,Ethnic,Classic,Pastel Pink,Cotton,"Carlton London pastel pink blouses crafted from premium cotton for women. Features a timeless quintessential design crafted for versatile everyday elegance. Ideal for ethnic occasions. Styled in a classic aesthetic, offering both all-day comfort and trend-forward appeal."
SKU-TOP-1247,Puma Maroon Men's Linen Blazers,topwear,Blazers,Puma,Men,3299,4.0,Casual,Classic,Maroon,Linen,"Puma maroon blazers crafted from premium linen for men. Features a timeless quintessential design crafted for versatile everyday elegance. Ideal for casual occasions. Styled in a classic aesthetic, offering both all-day comfort and trend-forward appeal."
SKU-BOT-1924,HRX by Hrithik Roshan Mint Green Men's Cotton Chinos,bottomwear,Chinos,HRX by Hrithik Roshan,Men,3099,4.0,Gym,Classic,Mint Green,Cotton,"HRX by Hrithik Roshan mint green chinos crafted from premium cotton for men. Features a timeless quintessential design crafted for versatile everyday elegance. Ideal for gym occasions. Styled in a classic aesthetic, offering both all-day comfort and trend-forward appeal."
SKU-BOT-2132,Nike Mint Green Men's Linen Chinos,bottomwear,Chinos,Nike,Men,1799,4.3,Party;Ethnic,Streetwear,Mint Green,Linen,"Nike mint green chinos crafted from premium linen for men. Features a urban relaxed drape engineered with durable modern textures. Ideal for party, ethnic occasions. Styled in a streetwear aesthetic, offering both all-day comfort and trend-forward appeal."
SKU-BOT-1671,HIGHLANDER Cream Men's Polyester Trousers,bottomwear,Trousers,HIGHLANDER,Men,2249,4.6,Ethnic,Minimalist;Classic,Cream,Polyester,"HIGHLANDER cream trousers crafted from premium polyester for men. Features a clean tailored silhouette with subtle contemporary accents. Ideal for ethnic occasions. Styled in a minimalist aesthetic, offering both all-day comfort and trend-forward appeal."
SKU-BOT-1917,Titan Sky Blue Men's Cotton Chinos,bottomwear,Chinos,Titan,Men,1449,4.4,Ethnic,Minimalist;Pastel,Sky Blue,Cotton,"Titan sky blue chinos crafted from premium cotton for men. Features a clean tailored silhouette with subtle contemporary accents. Ideal for ethnic occasions. Styled in a minimalist aesthetic, offering both all-day comfort and trend-forward appeal."
SKU-FOO-2415,Nike Lavender Unisex Leather Sneakers,footwear,Sneakers,Nike,Unisex,3949,4.0,Formal;Gym,Classic,Lavender,Leather,"Nike lavender sneakers crafted from premium leather for all genders. Features a timeless quintessential design crafted for versatile everyday elegance. Ideal for formal, gym occasions. Styled in a classic aesthetic, offering both all-day comfort and trend-forward appeal."
SKU-FOO-2607,Tokyo Talkies Terracotta Women's Leather Sneakers,footwear,Sneakers,Tokyo Talkies,Women,3599,4.2,Beach;Formal,Vibrant,Terracotta,Leather,"Tokyo Talkies terracotta sneakers crafted from premium leather for women. Features a eye-catching high-energy color palette suited for expressive moods. Ideal for beach, formal occasions. Styled in a vibrant aesthetic, offering both all-day comfort and trend-forward appeal."
SKU-TOP-1403,Peter England Black Men's Cotton Blazers,topwear,Blazers,Peter England,Men,8549,4.2,Beach,Streetwear;Vibrant,Black,Cotton,"Peter England black blazers crafted from premium cotton for men. Features a urban relaxed drape engineered with durable modern textures. Ideal for beach occasions. Styled in a streetwear aesthetic, offering both all-day comfort and trend-forward appeal."
SKU-BOT-2104,Forever 21 Navy Blue Women's Cotton Chinos,bottomwear,Chinos,Forever 21,Women,1499,4.2,Gym,Streetwear,Navy Blue,Cotton,"Forever 21 navy blue chinos crafted from premium cotton for women. Features a urban relaxed drape engineered with durable modern textures. Ideal for gym occasions. Styled in a streetwear aesthetic, offering both all-day comfort and trend-forward appeal."
SKU-ACC-3073,Mast & Harbour Tan Brown Men's Polyester Bags,accessories,Bags,Mast & Harbour,Men,3199,4.2,Beach,Classic,Tan Brown,Polyester,"Mast & Harbour tan brown bags crafted from premium polyester for men. Features a timeless quintessential design crafted for versatile everyday elegance. Ideal for beach occasions. Styled in a classic aesthetic, offering both all-day comfort and trend-forward appeal."
SKU-BOT-1720,Mast & Harbour Lavender Men's Linen Trousers,bottomwear,Trousers,Mast & Harbour,Men,2699,4.2,Ethnic,Classic,Lavender,Linen,"Mast & Harbour lavender trousers crafted from premium linen for men. Features a timeless quintessential design crafted for versatile everyday elegance. Ideal for ethnic occasions. Styled in a classic aesthetic, offering both all-day comfort and trend-forward appeal."
SKU-ACC-3012,Sangria Lavender Women's Silk Earrings,accessories,Earrings,Sangria,Women,1499,3.9,Formal;Party,Streetwear,Lavender,Silk,"Sangria lavender earrings crafted from premium silk for women. Features a urban relaxed drape engineered with durable modern textures. Ideal for formal, party occasions. Styled in a streetwear aesthetic, offering both all-day comfort and trend-forward appeal."
SKU-ACC-3437,DressBerry Navy Blue Women's Polyester Earrings,accessories,Earrings,DressBerry,Women,549,4.2,Beach,Minimalist;Vibrant,Navy Blue,Polyester,"DressBerry navy blue earrings crafted from premium polyester for women. Features a clean tailored silhouette with subtle contemporary accents. Ideal for beach occasions. Styled in a minimalist aesthetic, offering both all-day comfort and trend-forward appeal."
SKU-TOP-1197,Roadster Olive Green Men's Linen Blazers,topwear,Blazers,Roadster,Men,2649,3.9,Beach,Vibrant,Olive Green,Linen,"Roadster olive green blazers crafted from premium linen for men. Features a eye-catching high-energy color palette suited for expressive moods. Ideal for beach occasions. Styled in a vibrant aesthetic, offering both all-day comfort and trend-forward appeal."
SKU-BOT-1892,VERO MODA Charcoal Grey Women's Silk Skirts,bottomwear,Skirts,VERO MODA,Women,1949,4.4,Ethnic,Streetwear,Charcoal Grey,Silk,"VERO MODA charcoal grey skirts crafted from premium silk for women. Features a urban relaxed drape engineered with durable modern textures. Ideal for ethnic occasions. Styled in a streetwear aesthetic, offering both all-day comfort and trend-forward appeal."
SKU-FOO-2265,Fossil Tan Brown Women's Polyester Heels,footwear,Heels,Fossil,Women,4699,4.3,Formal;Gym,Pastel,Tan Brown,Polyester,"Fossil tan brown heels crafted from premium polyester for women. Features a soft muted hues providing a calm, breezy and sophisticated aesthetic. Ideal for formal, gym occasions. Styled in a pastel aesthetic, offering both all-day comfort and trend-forward appeal."
SKU-BOT-2035,HRX by Hrithik Roshan Black Men's Linen Trousers,bottomwear,Trousers,HRX by Hrithik Roshan,Men,949,4.0,Ethnic;Formal,Classic,Black,Linen,"HRX by Hrithik Roshan black trousers crafted from premium linen for men. Features a timeless quintessential design crafted for versatile everyday elegance. Ideal for ethnic, formal occasions. Styled in a classic aesthetic, offering both all-day comfort and trend-forward appeal."
SKU-FOO-2326,HIGHLANDER Tan Brown Men's Leather Sneakers,footwear,Sneakers,HIGHLANDER,Men,6299,3.5,Casual,Streetwear,Tan Brown,Leather,"HIGHLANDER tan brown sneakers crafted from premium leather for men. Features a urban relaxed drape engineered with durable modern textures. Ideal for casual occasions. Styled in a streetwear aesthetic, offering both all-day comfort and trend-forward appeal."
SKU-TOP-1510,Bata Mint Green Women's Cotton Kurtas,topwear,Kurtas,Bata,Women,1199,3.9,Casual,Vibrant,Mint Green,Cotton,"Bata mint green kurtas crafted from premium cotton for women. Features a eye-catching high-energy color palette suited for expressive moods. Ideal for casual occasions. Styled in a vibrant aesthetic, offering both all-day comfort and trend-forward appeal."
SKU-FOO-2428,DressBerry Black Women's Polyester Heels,footwear,Heels,DressBerry,Women,4149,3.8,Formal,Vibrant;Pastel,Black,Polyester,"DressBerry black heels crafted from premium polyester for women. Features a eye-catching high-energy color palette suited for expressive moods. Ideal for formal occasions. Styled in a vibrant aesthetic, offering both all-day comfort and trend-forward appeal."
SKU-TOP-1195,Tokyo Talkies Maroon Women's Silk Kurtas,topwear,Kurtas,Tokyo Talkies,Women,1249,4.3,Ethnic;Party,Minimalist;Streetwear,Maroon,Silk,"Tokyo Talkies maroon kurtas crafted from premium silk for women. Features a clean tailored silhouette with subtle contemporary accents. Ideal for ethnic, party occasions. Styled in a minimalist aesthetic, offering both all-day comfort and trend-forward appeal."
SKU-BOT-2180,VERO MODA Tan Brown Women's Linen Chinos,bottomwear,Chinos,VERO MODA,Women,1299,3.8,Beach,Streetwear,Tan Brown,Linen,"VERO MODA tan brown chinos crafted from premium linen for women. Features a urban relaxed drape engineered with durable modern textures. Ideal for beach occasions. Styled in a streetwear aesthetic, offering both all-day comfort and trend-forward appeal."
SKU-ACC-3033,Converse Lavender Unisex Cotton Bags,accessories,Bags,Converse,Unisex,4049,4.4,Casual,Minimalist,Lavender,Cotton,"Converse lavender bags crafted from premium cotton for all genders. Features a clean tailored silhouette with subtle contemporary accents. Ideal for casual occasions. Styled in a minimalist aesthetic, offering both all-day comfort and trend-forward appeal."
SKU-BOT-1933,HIGHLANDER Olive Green Men's Polyester Trousers,bottomwear,Trousers,HIGHLANDER,Men,1349,3.7,Beach;Casual,Minimalist,Olive Green,Polyester,"HIGHLANDER olive green trousers crafted from premium polyester for men. Features a clean tailored silhouette with subtle contemporary accents. Ideal for beach, casual occasions. Styled in a minimalist aesthetic, offering both all-day comfort and trend-forward appeal."
